group,subgroup,date,date_end,title,deadline,content,example,assignment,note
Evaluation and causation,Session 1,2023-01-12,,Evaluation and the causal revolution,,content/01-content,example/rstudio-tidyverse,,
Evaluation and causation,Session 1,2023-01-19,,Weekly check-in 1,noon,,,assignment/weekly-check-in,
Evaluation and causation,Session 1,2023-01-19,,Problem set 1,11:59 PM,,,assignment/01-problem-set,
Evaluation and causation,Session 2,2023-01-19,,Regression and inference,,content/02-content,,,
Evaluation and causation,Session 2,2023-01-19,,Weekly check-in 2,noon,,,assignment/weekly-check-in,
Evaluation and causation,Session 2,2023-01-26,,Problem set 2,11:59 PM,,,assignment/02-problem-set,
Evaluation and causation,Session 3,2023-01-26,,Theories of change and logic models,,content/03-content,,,
Evaluation and causation,Session 3,2023-01-26,,Weekly check-in 3,noon,,,assignment/weekly-check-in,
Evaluation and causation,Session 3,2023-02-02,,Evaluation: Background and theory,11:59 PM,,,assignment/01-eval-background-theory,
Evaluation and causation,Session 4,2023-02-02,,Measurement and DAGs,,content/04-content,example/dags,,
Evaluation and causation,Session 4,2023-02-02,,Weekly check-in 4,noon,,,assignment/weekly-check-in,
Evaluation and causation,Session 4,2023-02-09,,Evaluation: Measurement,11:59 PM,,,assignment/02-eval-measurement,
Evaluation and causation,Session 5,2023-02-09,,DAGs and potential outcomes,,content/05-content,example/po-ate-cate,,
Evaluation and causation,Session 5,2023-02-09,,Weekly check-in 5,noon,,,assignment/weekly-check-in,
Evaluation and causation,Session 5,2023-02-16,,Evaluation: Causal model,11:59 PM,,,assignment/03-eval-dag,
Evaluation and causation,Session 6,2023-02-16,,Threats to validity,,content/06-content,,,
Evaluation and causation,Session 6,2023-02-16,,Weekly check-in 6,noon,,,assignment/weekly-check-in,
Evaluation and causation,Session 6,2023-02-23,,Evaluation: Threats to validity,11:59 PM,,,assignment/04-eval-threats,
Evaluation and causation,Exam 1,2023-02-23,2023-03-02,Exam 1,,,,,
Tools and methods,Session 7,2023-02-23,,Randomization and matching,,content/07-content,example/matching-ipw,,
Tools and methods,Session 7,2023-02-23,,Weekly check-in 7,noon,,,assignment/weekly-check-in,
Tools and methods,Session 7,2023-03-02,,Problem set 3,11:59 PM,,,assignment/03-problem-set,
Tools and methods,Session 8,2023-03-02,,Difference-in-differences I,,content/08-content,example/diff-in-diff,,
Tools and methods,Session 8,2023-03-02,,Weekly check-in 8,noon,,,assignment/weekly-check-in,
Tools and methods,Session 8,2023-03-09,,Problem set 4,11:59 PM,,,assignment/04-problem-set,
Tools and methods,Session 9,2023-03-09,,Difference-in-differences II,,content/09-content,,,
Tools and methods,Session 9,2023-03-09,,Weekly check-in 9,noon,,,assignment/weekly-check-in,
Tools and methods,Session 9,2023-03-23,,Problem set 5,11:59 PM,,,assignment/05-problem-set,
Tools and methods,Session 10,2023-03-23,,Regression discontinuity I,,content/10-content,example/rdd,,
Tools and methods,Session 10,2023-03-23,,Weekly check-in 10,noon,,,assignment/weekly-check-in,
Tools and methods,Session 10,2023-03-30,,Problem set 6,11:59 PM,,,assignment/06-problem-set,
Tools and methods,Session 11,2023-03-30,,Instrumental variables I,,content/11-content,example/iv,,
Tools and methods,Session 11,2023-03-30,,Weekly check-in 11,noon,,,assignment/weekly-check-in,
Tools and methods,Session 11,2023-04-06,,Problem set 7,11:59 PM,,,assignment/07-problem-set,
Tools and methods,Session 12,2023-04-06,,Instrumental variables II + Regression discontinuity II,,content/12-content,example/rdd-fuzzy,,
Tools and methods,Session 12,2023-04-06,,Weekly check-in 12,noon,,,assignment/weekly-check-in,
Tools and methods,Session 12,2023-04-13,,Problem set 8,11:59 PM,,,assignment/08-problem-set,
Tools and methods,Exam 2,2023-04-13,2023-04-20,Exam 2,,,,,
Applied evaluation,Session 13,2023-04-13,,Choosing and planning ethical evaluations,,content/13-content,example/synthetic-data,,
Applied evaluation,Session 13,2023-04-13,,Weekly check-in 13,noon,,,assignment/weekly-check-in,
Applied evaluation,Session 13,2023-04-20,,Problem set 9,11:59 PM,,,assignment/09-problem-set,
Applied evaluation,Session 14,2023-04-20,,"Ethics, stories, and curiosity",,content/14-content,,,
Applied evaluation,Session 14,2023-04-20,,Weekly check-in 14,noon,,,assignment/weekly-check-in,
Final,Final project,2023-05-01,,Final project due,,,,assignment/final-project,
